Yesterday actual,Today actual,Today actual target,Today pred target,Correct
37.66,36.85,0,0,1
10.46,10.34,0,0,1
97.08,92.71,0,0,1
18.51,18.46,0,0,1
14.13,13.97,0,1,0
105.33,105.17,0,1,0
56.11,55.18,0,0,1
23.75,23.47,0,1,0
41.25,40.57,0,0,1
37.59,37.39,0,1,0
17.81,17.56,0,1,0
70.65,69.22,0,1,0
40.55,40.35,0,1,0
24.17,23.87,0,0,1
37.66,37.59,0,1,0
52.15,51.62,0,0,1
281.97,284.06,1,1,1
29.42,29.21,0,1,0
55.07,54.09,0,0,1
51.79,51.28,0,1,0
41.39,41.07,0,0,1
35.13,34.83,0,1,0
6.66,6.45,0,0,1
31.32,31.0,0,0,1
567.08,555.66,0,1,0
87.94,89.16,1,1,1
75.48,74.77,0,1,0
129.02,128.4,0,0,1
138.91,136.1,0,0,1
71.29,70.98,0,1,0
89.83,89.71,0,1,0
74.33,73.0,0,1,0
8.06,8.1,1,0,0
