Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,Return,Risk
EWA: 8.72\%,EWU: 8.24\%,EWG: 7.86\%,EWC: 7.58\%,EMXC: 6.68\%,0.0697,0.0145
GLD: 14.74\%,VDE: 12.02\%,CORN: 10.04\%,DBO: 6.83\%,EDEN: 5.07\%,0.0847,0.0189
XMAF.L: 8.78\%,EMXC: 8.49\%,EWW: 6.51\%,IEMG: 6.51\%,EWJ: 6.35\%,0.0852,0.0196
CORN: 14.79\%,KSA: 10.50\%,SPY: 9.46\%,PSCC: 8.19\%,TLT: 7.38\%,0.0908,0.0208
TLT: 10.10\%,EWJ: 9.98\%,EWC: 7.81\%,GLD: 7.04\%,EWA: 6.49\%,0.1021,0.0218
AIEQ: 9.96\%,VDE: 9.47\%,EWW: 7.62\%,BCHN.L: 7.43\%,EDEN: 6.25\%,0.1054,0.0219
EWS: 21.29\%,GLD: 7.55\%,PSCC: 7.36\%,EWC: 7.34\%,INDA: 5.42\%,0.125,0.0234
TLT: 15.07\%,XMAF.L: 7.20\%,DBO: 6.19\%,EWQ: 5.86\%,EWS: 5.34\%,0.129,0.0252
GLD: 12.18\%,SLV: 7.57\%,EDEN: 7.22\%,SPY: 6.47\%,VDE: 6.13\%,0.1339,0.0263
USO: 11.36\%,SEMI.AS: 8.21\%,EWC: 7.72\%,TLT: 6.65\%,INDA: 5.80\%,0.1705,0.0273
TLT: 16.04\%,GLD: 7.86\%,CORN: 7.85\%,EWW: 6.48\%,INDA: 6.46\%,0.1819,0.0277
DBO: 13.22\%,BCHN.L: 11.16\%,EWJ: 9.12\%,PSCC: 8.80\%,SEMI.AS: 7.53\%,0.1826,0.0319
SLV: 19.53\%,VDNR.L: 14.98\%,CORN: 6.81\%,IDUP.L: 6.42\%,VGK: 6.40\%,0.1845,0.0363
EWA: 11.88\%,SPY: 10.39\%,IEMG: 7.68\%,EWG: 7.45\%,IDUP.L: 6.02\%,0.1982,0.0364
VDE: 8.82\%,EWA: 8.63\%,PSCC: 8.18\%,VGK: 7.74\%,EWC: 7.04\%,0.2011,0.0368
EWU: 12.44\%,AIEQ: 11.98\%,ASHR.L: 8.59\%,SEMI.AS: 5.88\%,SPY: 5.36\%,0.2084,0.0372
XMAF.L: 12.30\%,TLT: 10.56\%,EWU: 7.15\%,KSA: 6.73\%,USO: 6.49\%,0.2148,0.0381
SLV: 10.46\%,GLD: 7.75\%,AIEQ: 7.42\%,KSA: 7.38\%,IDUP.L: 6.74\%,0.2188,0.0382
EMXC: 17.32\%,TLT: 8.21\%,EWS: 6.31\%,BCHN.L: 6.17\%,VDE: 6.14\%,0.2409,0.0401
SEMI.AS: 16.36\%,CORN: 10.28\%,SPY: 9.98\%,EDEN: 6.96\%,DBO: 5.57\%,0.2495,0.0452
KSA: 9.69\%,EWS: 7.40\%,EWG: 7.11\%,EWW: 7.10\%,VPL: 6.97\%,0.2581,0.0461
EWU: 8.57\%,SPY: 8.46\%,VDE: 7.83\%,KSA: 6.91\%,EWW: 6.16\%,0.2725,0.0485
SLV: 12.82\%,VGK: 9.65\%,DBO: 8.95\%,EWH: 4.99\%,EWJ: 4.68\%,0.279,0.0499
EWS: 10.47\%,SEMI.AS: 10.28\%,VDE: 9.91\%,GLD: 8.73\%,USO: 7.89\%,0.2875,0.0519
TLT: 14.29\%,BCHN.L: 12.00\%,IDUP.L: 7.61\%,EWS: 6.36\%,EWQ: 5.67\%,0.3052,0.0539
IDUP.L: 10.66\%,CORN: 7.66\%,SLV: 6.77\%,VGK: 6.70\%,VNQ: 6.51\%,0.3162,0.0542
VDNR.L: 7.84\%,IEMG: 7.65\%,SEMI.AS: 7.00\%,DBO: 6.03\%,SLV: 5.95\%,0.3257,0.0603
VDE: 13.77\%,VPL: 9.87\%,USO: 7.91\%,CORN: 5.92\%,EWS: 5.79\%,0.3387,0.0604
EWQ: 10.20\%,CORN: 8.65\%,EWU: 8.47\%,EWJ: 8.37\%,KSA: 7.72\%,0.35,0.0623
CORN: 11.10\%,BCHN.L: 10.84\%,PSCC: 9.28\%,SLV: 5.87\%,SEMI.AS: 5.44\%,0.3509,0.0653
IEMG: 11.54\%,SEMI.AS: 11.16\%,CORN: 9.06\%,EWW: 6.03\%,IDUP.L: 5.98\%,0.352,0.0667
SEMI.AS: 20.12\%,EMXC: 7.67\%,VDE: 7.64\%,EWU: 7.59\%,AIEQ: 5.95\%,0.3789,0.0689
ASHR.L: 8.47\%,EWC: 7.22\%,EMXC: 6.86\%,EWH: 6.71\%,SEMI.AS: 4.83\%,0.3834,0.0724
DBO: 15.44\%,IEMG: 9.06\%,EWU: 8.82\%,EWG: 6.77\%,SPY: 6.32\%,0.3918,0.0747
USO: 11.57\%,TLT: 8.86\%,KSA: 7.94\%,VPL: 7.62\%,EWS: 6.99\%,0.4114,0.0753
BCHN.L: 10.81\%,GLD: 6.39\%,SLV: 6.39\%,EWH: 6.21\%,EMXC: 5.86\%,0.4201,0.0786
SEMI.AS: 12.52\%,VDE: 10.17\%,BCHN.L: 7.53\%,EMXC: 6.62\%,IDUP.L: 5.36\%,0.4538,0.0793
SLV: 12.21\%,VDE: 11.36\%,PSCC: 6.92\%,IDUP.L: 6.41\%,INDA: 5.05\%,0.4633,0.0886
SPY: 9.04\%,DBO: 8.89\%,VDNR.L: 8.26\%,EWG: 5.63\%,EMXC: 5.57\%,0.4767,0.0936
EWA: 18.08\%,EWG: 9.89\%,IDUP.L: 8.75\%,EWQ: 6.54\%,IEMG: 6.48\%,0.4775,0.0948
SEMI.AS: 10.56\%,BCHN.L: 8.18\%,VGK: 7.82\%,EWQ: 6.63\%,VPL: 4.95\%,0.4936,0.097
EWC: 10.05\%,SPY: 9.42\%,VDE: 9.38\%,AIEQ: 8.15\%,SEMI.AS: 7.56\%,0.5072,0.0999
EWQ: 11.49\%,SLV: 9.23\%,EWH: 9.08\%,INDA: 7.70\%,EDEN: 7.25\%,0.5229,0.1006
VNQ: 10.94\%,EWC: 8.44\%,INDA: 8.17\%,BCHN.L: 7.78\%,IDUP.L: 6.43\%,0.5289,0.1015
BCHN.L: 11.60\%,EWU: 11.08\%,DBO: 7.67\%,XMAF.L: 6.93\%,GLD: 6.30\%,0.5348,0.105
VPL: 10.12\%,BCHN.L: 8.95\%,EWQ: 8.59\%,AIEQ: 8.38\%,EWA: 6.43\%,0.5527,0.1088
IEMG: 15.66\%,SLV: 9.09\%,EWS: 8.81\%,BCHN.L: 7.83\%,VGK: 6.80\%,0.5957,0.1104
VDE: 14.68\%,EWS: 11.19\%,EMXC: 6.66\%,SLV: 5.73\%,EWQ: 5.40\%,0.6061,0.1209
BCHN.L: 19.16\%,DBO: 14.51\%,XMAF.L: 8.50\%,EWU: 7.37\%,EWW: 5.98\%,0.6272,0.1275
EWW: 13.79\%,IEMG: 7.86\%,EMXC: 7.20\%,PSCC: 6.14\%,ASHR.L: 5.87\%,0.6277,0.1306
EWC: 10.35\%,XMAF.L: 9.30\%,EWH: 8.56\%,AIEQ: 8.10\%,EDEN: 6.01\%,0.6657,0.1361
EWJ: 13.48\%,EMXC: 8.59\%,INDA: 6.88\%,BCHN.L: 6.45\%,VPL: 6.09\%,0.6832,0.1367
VNQ: 16.68\%,EMXC: 11.79\%,EWC: 9.49\%,DBO: 7.85\%,EWW: 7.52\%,0.7005,0.139
EWG: 10.73\%,VDNR.L: 10.33\%,TLT: 7.57\%,EMXC: 6.41\%,USO: 5.44\%,0.7353,0.1424
BCHN.L: 16.24\%,EWH: 7.17\%,EWA: 6.93\%,VDNR.L: 6.64\%,DBO: 6.27\%,0.809,0.1506
GLD: 11.27\%,EWA: 9.23\%,PSCC: 8.66\%,EWQ: 5.90\%,XMAF.L: 5.80\%,0.8704,0.1738
BCHN.L: 15.82\%,GLD: 15.70\%,VNQ: 15.30\%,USO: 7.32\%,IDUP.L: 5.47\%,1.0092,0.18
EWU: 14.72\%,EWG: 12.18\%,IDUP.L: 6.69\%,EWH: 5.84\%,VGK: 5.76\%,1.0511,0.2292
ASHR.L: 11.37\%,BCHN.L: 10.71\%,IEMG: 8.88\%,EWH: 7.99\%,INDA: 7.85\%,1.0523,0.2349
BCHN.L: 11.10\%,EWW: 10.65\%,DBO: 7.19\%,PSCC: 6.00\%,VPL: 5.86\%,1.0604,0.2413
BCHN.L: 10.35\%,EWJ: 8.39\%,EWC: 8.32\%,VNQ: 6.70\%,EMXC: 5.45\%,1.3064,0.244
EWS: 14.24\%,EWQ: 10.88\%,VGK: 8.51\%,BCHN.L: 7.97\%,EWH: 5.56\%,1.3121,0.2765
BCHN.L: 16.14\%,IEMG: 7.07\%,EWH: 6.83\%,VDNR.L: 5.90\%,EWU: 5.83\%,1.3207,0.2817
BCHN.L: 8.15\%,SLV: 8.00\%,INDA: 7.57\%,IDUP.L: 7.10\%,EWH: 6.52\%,1.3706,0.2952
KSA: 19.86\%,BCHN.L: 11.53\%,EWJ: 9.91\%,SLV: 6.16\%,EWH: 5.63\%,1.649,0.3136
BCHN.L: 15.00\%,VDNR.L: 7.07\%,TLT: 6.95\%,EWU: 6.38\%,AIEQ: 5.95\%,1.7203,0.389
BCHN.L: 12.18\%,IEMG: 7.14\%,DBO: 7.07\%,EDEN: 6.66\%,EWU: 6.05\%,1.8182,0.4225
USO: 9.98\%,KSA: 8.29\%,EWA: 7.86\%,SLV: 6.90\%,SPY: 6.16\%,1.8645,0.4328
EWS: 13.47\%,SEMI.AS: 10.83\%,BCHN.L: 9.90\%,EDEN: 5.54\%,TLT: 4.83\%,1.8839,0.4448
EWJ: 16.15\%,BCHN.L: 12.23\%,EWG: 10.80\%,IEMG: 5.93\%,ASHR.L: 5.24\%,1.8981,0.4474
DBO: 16.60\%,PSCC: 8.06\%,EMXC: 7.17\%,VDE: 7.09\%,USO: 5.77\%,1.9216,0.4586
TLT: 13.17\%,DBO: 11.56\%,BCHN.L: 10.72\%,EWG: 6.27\%,AIEQ: 5.88\%,2.0229,0.4589
VDE: 16.43\%,EWQ: 7.60\%,IDUP.L: 7.17\%,EWC: 7.07\%,BCHN.L: 6.18\%,2.025,0.4978
BCHN.L: 10.29\%,EWC: 8.96\%,VDE: 8.40\%,EWG: 7.57\%,EWQ: 7.35\%,2.3038,0.5154
VPL: 8.91\%,GLD: 8.88\%,BCHN.L: 7.45\%,EWC: 5.74\%,TLT: 5.48\%,2.417,0.5811
VGK: 13.59\%,EWW: 10.93\%,IDUP.L: 9.88\%,EWQ: 6.00\%,BCHN.L: 5.71\%,2.5122,0.6183
BCHN.L: 18.58\%,EWQ: 13.39\%,EWH: 7.01\%,VDE: 6.44\%,EWS: 5.24\%,3.2889,0.6876
BCHN.L: 11.50\%,EWS: 10.18\%,EDEN: 8.14\%,TLT: 7.71\%,PSCC: 7.14\%,3.3965,0.8505
BCHN.L: 13.36\%,GLD: 8.55\%,EWU: 8.05\%,INDA: 6.53\%,EWJ: 6.34\%,3.5127,0.9553
VGK: 8.81\%,VNQ: 7.14\%,ASHR.L: 6.93\%,GLD: 6.79\%,EWQ: 6.49\%,3.774,1.0898
BCHN.L: 16.39\%,EWG: 14.40\%,SLV: 13.08\%,ASHR.L: 8.58\%,PSCC: 5.23\%,4.4227,1.3404
BCHN.L: 11.17\%,TLT: 8.98\%,PSCC: 5.09\%,EMXC: 4.99\%,EWQ: 4.85\%,5.5631,1.4356
