,Yesterday_actual,Today_actual,Today_pred,Correct,Yesterday actual,Today actual,Today prediction
AIEQ,37.65800094604492,36.845001220703125,37.25280398074334,1,37.66,36.85,37.25
ASHR.L,10.460000038146973,10.34000015258789,9.55933272466597,1,10.46,10.34,9.56
BCHN.L,97.08000183105467,92.71499633789062,97.80627784768902,0,97.08,92.71,97.81
CORN,18.51000022888184,18.459999084472656,19.09902152278043,0,18.51,18.46,19.1
DBO,14.130000114440918,13.970000267028809,15.14590607258861,0,14.13,13.97,15.15
EDEN,105.33000183105467,105.16999816894533,108.5795037967119,0,105.33,105.17,108.58
EMXC,56.11000061035156,55.18000030517578,56.0782320344772,1,56.11,55.18,56.08
EWA,23.75,23.46999931335449,22.881405408599992,1,23.75,23.47,22.88
EWC,41.25,40.56999969482422,36.753792095163675,1,41.25,40.57,36.75
EWG,37.59000015258789,37.38999938964844,31.151175589987755,1,37.59,37.39,31.15
EWH,17.809999465942383,17.559999465942383,16.380004466166376,1,17.81,17.56,16.38
EWJ,70.6500015258789,69.22000122070312,67.21629937026894,1,70.65,69.22,67.22
EWQ,40.54999923706055,40.34999847412109,35.38709124629304,1,40.55,40.35,35.39
EWS,24.170000076293945,23.8700008392334,19.15842884305605,1,24.17,23.87,19.16
EWU,37.65999984741211,37.59000015258789,30.38386203362251,1,37.66,37.59,30.38
EWW,52.150001525878906,51.619998931884766,52.964339228098716,0,52.15,51.62,52.96
GLD,281.9700012207031,284.0599975585937,184.17020496514652,0,281.97,284.06,184.17
IDUP.L,29.419612884521484,29.21131706237793,28.49248896358791,1,29.42,29.21,28.49
IEMG,55.06999969482422,54.09000015258789,52.42063421624234,1,55.07,54.09,52.42
INDA,51.790000915527344,51.27999877929688,47.04079528605557,1,51.79,51.28,47.04
KSA,41.38999938964844,41.06999969482422,43.13130253172688,0,41.39,41.07,43.13
PSCC,35.130001068115234,34.83000183105469,34.078584210956414,1,35.13,34.83,34.08
SEMI.AS,6.664999961853027,6.452000141143799,5.7763781817343895,1,6.66,6.45,5.78
SLV,31.31999969482422,31.0,25.971268423012816,1,31.32,31.0,25.97
SPY,567.0800170898438,555.6599731445312,439.5453249589858,1,567.08,555.66,439.55
TLT,87.93944549560547,89.15601348876953,89.58975887590952,1,87.94,89.16,89.59
USO,75.4800033569336,74.7699966430664,74.89755569234504,1,75.48,74.77,74.9
VDE,129.02000427246094,128.39999389648438,106.16633075952986,1,129.02,128.4,106.17
VDNR.L,138.91000366210938,136.09500122070312,110.63459905440236,1,138.91,136.1,110.63
VGK,71.29000091552734,70.9800033569336,61.72113066698432,1,71.29,70.98,61.72
VNQ,89.83000183105469,89.70999908447266,86.82095133960256,1,89.83,89.71,86.82
VPL,74.33000183105469,73.0,72.20017501963521,1,74.33,73.0,72.2
XMAF.L,8.057499885559082,8.103750228881836,7.011866987718284,0,8.06,8.1,7.01
